X,Y,GLIF
179,400,on
179,409,off
191,421,off
200,421,on
235,421,off
272,396,off
280,383,on
296,357,off
290,283,off
269,241,on
206,116,on
203,109,off
195,86,off
190,62,off
189,39,off
194,32,on
200,21,off
225,21,on
234,21,off
246,9,off
246,0,on
246,-9,off
234,-21,off
225,-21,on
195,-21,off
165,-1,off
158,10,on
147,27,off
147,68,off
156,104,off
167,131,off
169,134,on
231,259,on
247,291,off
254,345,off
244,360,on
232,379,off
200,379,on
191,379,off
179,391,off
